fibrosis_type,fiber_angle_deg,density,seed,atpi,final_time_ms
compact,0,0.15,81477,2.0,0.0
compact,0,0.15,5862,2.0,0.0
compact,0,0.15,66578,2.0,0.0
compact,0,0.15,82077,2.0,0.0
compact,0,0.15,24294,2.0,0.0
compact,0,0.15,68937,2.0,0.0
compact,0,0.15,78434,2.0,0.0
compact,0,0.15,49941,2.0,0.0
compact,0,0.15,77737,2.0,0.0
compact,0,0.15,71425,2.0,0.0
compact,0,0.15,49360,2.0,0.0
compact,0,0.15,87525,2.0,0.0
compact,0,0.15,58591,2.0,0.0
compact,0,0.15,25439,2.0,0.0
compact,0,0.15,62885,2.0,0.0
compact,0,0.15,56,2.0,0.0
compact,0,0.15,51267,2.0,0.0
compact,0,0.15,40086,2.0,0.0
compact,0,0.15,46016,2.0,0.0
compact,0,0.15,38158,2.0,0.0
compact,0,0.15,78286,2.0,0.0
compact,0,0.15,45588,2.0,0.0
compact,0,0.15,31886,2.0,0.0
compact,0,0.15,4383,2.0,0.0
compact,0,0.15,33200,2.0,0.0
compact,0,0.15,65344,2.0,0.0
compact,0,0.15,61010,2.0,0.0
compact,0,0.15,47678,2.0,0.0
compact,0,0.15,66684,2.0,0.0
compact,0,0.15,76232,2.0,0.0
compact,0,0.15,26255,2.0,0.0
compact,0,0.15,73096,2.0,0.0
compact,0,0.15,43438,2.0,0.0
compact,0,0.15,5098,2.0,0.0
compact,0,0.15,16858,2.0,0.0
compact,0,0.15,31828,2.0,0.0
compact,0,0.15,18561,2.0,0.0
compact,0,0.15,37106,2.0,0.0
compact,0,0.15,95865,2.0,0.0
compact,0,0.15,6797,2.0,0.0
compact,0,0.15,85634,2.0,0.0
compact,0,0.15,3677,2.0,0.0
compact,0,0.15,94215,2.0,0.0
compact,0,0.15,67389,2.0,0.0
compact,0,0.15,58477,2.0,0.0
compact,0,0.15,41169,2.0,0.0
compact,0,0.15,44373,2.0,0.0
compact,0,0.15,13391,2.0,0.0
compact,0,0.15,13265,2.0,0.0
compact,0,0.15,92885,2.0,0.0
compact,0,0.15,56788,2.0,0.0
compact,0,0.15,44442,2.0,0.0
compact,0,0.15,29545,2.0,0.0
compact,0,0.15,4443,2.0,0.0
compact,0,0.15,39454,2.0,0.0
compact,0,0.15,10608,2.0,0.0
compact,0,0.15,86974,2.0,0.0
compact,0,0.15,83746,2.0,0.0
compact,0,0.15,86361,2.0,0.0
compact,0,0.15,42449,2.0,0.0
compact,0,0.15,253,2.0,0.0
compact,0,0.15,94754,2.0,0.0
compact,0,0.15,91205,2.0,0.0
compact,0,0.15,59127,2.0,0.0
compact,0,0.15,78940,2.0,0.0
compact,0,0.15,68847,2.0,0.0
compact,0,0.15,55604,2.0,0.0
compact,0,0.15,99258,2.0,0.0
compact,0,0.15,44717,2.0,0.0
compact,0,0.15,85405,2.0,0.0
compact,0,0.15,15192,2.0,0.0
compact,0,0.15,63894,2.0,0.0
compact,0,0.15,57098,2.0,0.0
compact,0,0.15,11035,2.0,0.0
compact,0,0.15,61603,2.0,0.0
compact,0,0.15,5779,2.0,0.0
compact,0,0.15,30615,2.0,0.0
compact,0,0.15,35184,2.0,0.0
compact,0,0.15,52447,2.0,0.0
compact,0,0.15,19117,2.0,0.0
compact,0,0.15,18934,2.0,0.0
compact,0,0.15,28902,2.0,0.0
compact,0,0.15,11524,2.0,0.0
compact,0,0.2,45240,2.0,0.0
compact,0,0.2,23230,2.0,0.0
compact,0,0.2,65155,2.0,0.0
compact,0,0.2,82809,2.0,0.0
compact,0,0.2,5677,2.0,0.0
compact,0,0.2,52796,2.0,0.0
compact,0,0.2,46897,2.0,0.0
compact,0,0.2,90559,2.0,0.0
compact,0,0.2,38775,2.0,0.0
compact,0,0.2,16756,2.0,0.0
compact,0,0.2,29551,2.0,0.0
compact,0,0.2,73575,2.0,0.0
compact,0,0.2,1104,2.0,0.0
compact,0,0.2,90527,2.0,0.0
compact,0,0.2,98995,2.0,0.0
compact,0,0.2,35564,2.0,0.0
compact,0,0.2,87119,2.0,0.0
compact,0,0.2,81477,2.0,0.0
compact,0,0.2,5862,2.0,0.0
compact,0,0.2,66578,2.0,0.0
compact,0,0.2,82077,2.0,0.0
compact,0,0.2,24294,2.0,0.0
compact,0,0.2,68937,2.0,0.0
compact,0,0.2,78434,2.0,0.0
compact,0,0.2,49941,2.0,0.0
compact,0,0.2,77737,2.0,0.0
compact,0,0.2,71425,2.0,0.0
compact,0,0.2,49360,2.0,0.0
compact,0,0.2,87525,2.0,0.0
compact,0,0.2,58591,2.0,0.0
compact,0,0.2,25439,2.0,0.0
compact,0,0.2,62885,2.0,0.0
compact,0,0.2,56,2.0,0.0
compact,0,0.2,51267,2.0,0.0
compact,0,0.2,40086,2.0,0.0
compact,0,0.2,46016,2.0,0.0
compact,0,0.2,38158,2.0,0.0
compact,0,0.2,78286,2.0,0.0
compact,0,0.2,45588,2.0,0.0
compact,0,0.2,31886,2.0,0.0
compact,0,0.2,4383,2.0,0.0
compact,0,0.2,33200,2.0,0.0
compact,0,0.2,65344,2.0,0.0
compact,0,0.2,61010,2.0,0.0
compact,0,0.2,47678,2.0,0.0
compact,0,0.2,66684,2.0,0.0
compact,0,0.2,76232,2.0,0.0
compact,0,0.2,26255,2.0,0.0
compact,0,0.2,73096,2.0,0.0
compact,0,0.2,43438,2.0,0.0
compact,0,0.2,5098,2.0,0.0
compact,0,0.2,16858,2.0,0.0
compact,0,0.2,31828,2.0,0.0
compact,0,0.2,18561,2.0,0.0
compact,0,0.2,37106,2.0,0.0
compact,0,0.2,95865,2.0,0.0
compact,0,0.2,6797,2.0,0.0
compact,0,0.2,85634,2.0,0.0
compact,0,0.2,3677,2.0,0.0
compact,0,0.2,94215,2.0,0.0
compact,0,0.2,67389,2.0,0.0
compact,0,0.2,58477,2.0,0.0
compact,0,0.2,41169,2.0,0.0
compact,0,0.2,44373,2.0,0.0
compact,0,0.2,13391,2.0,0.0
compact,0,0.2,13265,2.0,0.0
compact,0,0.2,92885,2.0,0.0
compact,0,0.2,56788,2.0,0.0
compact,0,0.2,44442,2.0,0.0
compact,0,0.2,29545,2.0,0.0
compact,0,0.2,4443,2.0,0.0
compact,0,0.2,39454,2.0,0.0
compact,0,0.2,10608,2.0,0.0
compact,0,0.2,86974,2.0,0.0
compact,0,0.2,83746,2.0,0.0
compact,0,0.2,86361,2.0,0.0
compact,0,0.2,42449,2.0,0.0
compact,0,0.2,253,2.0,0.0
compact,0,0.2,94754,2.0,0.0
compact,0,0.2,91205,2.0,0.0
compact,0,0.2,59127,2.0,0.0
compact,0,0.2,78940,2.0,0.0
compact,0,0.2,68847,2.0,0.0
compact,0,0.2,55604,2.0,0.0
compact,0,0.2,99258,2.0,0.0
compact,0,0.2,44717,2.0,0.0
compact,0,0.2,85405,2.0,0.0
compact,0,0.2,15192,2.0,0.0
compact,0,0.2,63894,2.0,0.0
compact,0,0.2,57098,2.0,0.0
compact,0,0.2,11035,2.0,0.0
compact,0,0.2,61603,2.0,0.0
compact,0,0.2,5779,2.0,0.0
compact,0,0.2,30615,2.0,0.0
compact,0,0.2,35184,2.0,0.0
