fibrosis_type,fiber_angle_deg,density,seed,atpi,final_time_ms
diffuse,0,0.05,5709837683,2.0,0.0
patchy,0,0.05,1519198587,2.0,0.0
interstitial,0,0.05,6160401757,2.0,0.0
compact,0,0.05,9255246124,2.0,0.0
diffuse,0,0.05,6160401757,2.0,0.0
patchy,0,0.05,5709837683,2.0,0.0
interstitial,0,0.05,3061515680,2.0,0.0
compact,0,0.05,9769371346,2.0,0.0
patchy,0,0.05,6160401757,2.0,0.0
diffuse,0,0.05,3061515680,2.0,0.0
interstitial,0,0.05,5244768376,2.0,0.0
patchy,0,0.05,3061515680,2.0,0.0
interstitial,0,0.05,1893379961,2.0,0.0
compact,0,0.05,462908093,2.0,0.0
diffuse,0,0.05,5244768376,2.0,0.0
patchy,0,0.05,5244768376,2.0,0.0
interstitial,0,0.05,1152363306,2.0,0.0
compact,0,0.05,6992987157,2.0,0.0
diffuse,0,0.05,1893379961,2.0,0.0
patchy,0,0.05,1893379961,2.0,0.0
interstitial,0,0.05,8482922795,2.0,0.0
patchy,0,0.05,1152363306,2.0,0.0
compact,0,0.05,6785912112,2.0,0.0
diffuse,0,0.05,1152363306,2.0,0.0
interstitial,0,0.05,9882397830,2.0,0.0
patchy,0,0.05,8482922795,2.0,0.0
interstitial,0,0.05,9586683249,2.0,0.0
compact,0,0.05,5815996253,2.0,0.0
diffuse,0,0.05,8482922795,2.0,0.0
patchy,0,0.05,9882397830,2.0,0.0
interstitial,0,0.05,3729556780,2.0,0.0
patchy,0,0.05,9586683249,2.0,0.0
compact,0,0.05,5762620602,2.0,0.0
diffuse,0,0.05,9882397830,2.0,0.0
interstitial,0,0.05,381363842,2.0,0.0
patchy,0,0.05,3729556780,2.0,0.0
interstitial,0,0.05,9625808203,2.0,0.0
compact,0,0.05,9228145936,2.0,0.0
diffuse,0,0.05,9586683249,2.0,0.0
patchy,0,0.05,381363842,2.0,0.0
interstitial,0,0.05,8241580884,2.0,0.0
compact,0,0.05,4798457802,2.0,0.0
diffuse,0,0.05,3729556780,2.0,0.0
patchy,0,0.05,9625808203,2.0,0.0
interstitial,0,0.05,3753566142,2.0,0.0
patchy,0,0.05,8241580884,2.0,0.0
compact,0,0.05,2863465351,2.0,0.0
diffuse,0,0.05,381363842,2.0,0.0
interstitial,0,0.05,1806742986,2.0,0.0
patchy,0,0.05,3753566142,2.0,0.0
interstitial,0,0.05,3093445294,2.0,0.0
compact,0,0.05,428199325,2.0,0.0
diffuse,0,0.05,9625808203,2.0,0.0
patchy,0,0.05,1806742986,2.0,0.0
interstitial,0,0.05,3871896320,2.0,0.0
compact,0,0.05,1996516809,2.0,0.0
diffuse,0,0.05,8241580884,2.0,0.0
patchy,0,0.05,3093445294,2.0,0.0
interstitial,0,0.05,8813045331,2.0,0.0
patchy,0,0.05,3871896320,2.0,0.0
